Science|science
Acta. Chim. Hung.|acta chimica hungarica
Acta. Chim. Sinica.|acta chimica sinica
Acta. Chromatogr.|acta chromatographica
Acta. Cienc. Indica,. Chem.|acta ciencia indica chemistry
Acta. Cienc. Indica,. Phys.|acta ciencia indica phyics
Acta. Cient. Venez.|acta scientifica venezolana
Acta. Crystallogr,. Sect. A:. Found. Crystallogr.|acta crystallographica section a: foundations
Acta. Crystallogr,. Sect. B:. Struct. Sci.|acta crystallographica section b: structural science
Acta. Crystallogr,. Sect. C:. Cryst. Struct. Commun.|acta crystallographica section c: crystal structure communications
Acta. Crystallogr,. Sect. D:. Biol. Crystallogr.|acta crystallographica section d: biological crystallography
Acta. Crystallogr,. Sect. E:. Struct. Rep. Online.|acta crystallographica section e structure reports online
Acta. Crystallogr,. Sect. F:. Struct. Biol. Cryst. Commun.|acta crystallographica section f: structural biology and crystallization communications
Acta. Ecol. Sin.|acta ecologica sinica
Acta. Entomol.|acta entomologica
Acta. Entomol. Fenn.|acta entomologica fennica
Acta. Farm. Bonaerense.|acta farmaceutica bonaerense
Acta. Faun. Entomol.|acta faunistica entomologica
Acta. Genet. Sin.|acta genetica sinica
Acta. Geod. Geophys.|acta geodaetica et geophysica
Acta. Geodyn. Geomater.|acta geodynamics et geomaterialia
Acta. Geol. Leopold.|acta geologica leopoldensia
Acta. Geol. Lillo.|acta geologica lilloana
Acta. Geol. Pol.|acta geologica polonica
Acta. Geol. Sin.|acta geologica sinica
Acta. Geophys.|acta geophysica
Acta. Geophys. Sin.|acta geophysica sinica
Acta. Geotech.|acta geotechnica
Acta. Histochem.|acta histochemica
Acta. Hortic.|acta horticulturae
Acta. Hydrobiol.|acta hydrobiologica
Acta. Hydrobiol. Litu.|acta hydrobiologica lituanica
Acta. Hydrobiol. Sin.|acta hydrobiologica sinica
Acta. Hydrochim. Hydrobiol.|acta hydrochimica et hydrobiologica
Acta. Ichthyol. Piscat.|acta ichthyologica et piscatoria
Acta. Mater.|acta materialia
Acta. Mech.|acta mechanica
Acta. Mech. Sin.|acta mechanica sinica
Acta. Mech. Solida. Sin.|acta mechanica solida sinica
Acta. Metall.|acta metallurgica
Acta. Metall. Mater.|acta metallurgica et materialia
Acta. Metall. Sinica.|acta metallurgica sinica
Acta. Meteorol. Sin.|acta meteorologica sinica
Acta. Microbiol. Hung.|acta microbiologica hungarica
Acta. Microbiol. Pol.|acta microbiologica polonica
Acta. Micropalaeontol. Sin.|acta micropalaeontologica sinica
Acta. Morphol. Hung.|acta morphologica hungarica
Acta. Morphol. Neerl-Scand.|acta morphologica neerlando-scandinavica
Acta. Mus. Maced. Sci. Nat.|acta musei macedonici scientiarum naturalium
Acta. Mus. Morav.|acta musei moraviae
Acta. Neuropathol.|acta neuropathologica
Acta. Neuropsychiatr.|acta neuropsychiatrica
Acta. Numer.|acta numerica
Acta. Oceanogr. Taiwan.|acta oceanographica taiwanica
Acta. Oceanolog. Sin.|acta oceanologica sinica
Acta. Odontol. Scand.|acta odontologica scandinavica
Acta. Oecol. Int. J Ecol.|acta oecologica international journal of ecology
Acta. Palaeobot.|acta palaeobotanica
Acta. Palaeontol. Polonica.|acta palaeontologica polonica
Acta. Pharmacol. Sin.|acta pharmacologica sinica
Acta. Phys. Chim. Debrecina.|acta physica et chimica debrecina
Acta. Phys. Chim. Sin.|acta physico-chimica sinica
Acta. Phys. Debrecina.|acta physica debrecina
Acta. Phys. Pol. A|acta physica polonica a
Acta. Phys. Pol. B|acta physica polonica b
Acta. Phys. Pol. B Proc. Suppl.|acta physica polonica proceedings supplement
Acta. Physiol. Scand.|acta physiologica scandinavica
Acta. Phytogeogr. Suec.|acta phytogeographica suecica
Acta. Phytopathol. Acad. Sci. Hung.|acta phytopathologica academiae scientiarum hungaricae
Acta. Polym.|acta polymerica
Acta. Polytech. Scand,. Chem. Technol. Ser.|acta polytechnica scandinavica - chemical technology series
Acta. Protozool.|acta protozoologica
Acta. r Soc. Sci. Litt. Gothobg,. Zool.|acta regiae societatis scientiarum et litterarum gothoburgensis zoologica
Acta. Sci. Circumst.|acta scientiae circumstantiae
Acta. Sci. Nat. Univ. Sunyatseni.|acta scientiarum naturalium universitatis sunyatseni
Acta. Sedimentol. Sin.|acta sedimentologica sinica
Acta. Seismol. Sin.|acta seismologica sinica
Acta. Soc. Zool. Bohemoslov.|acta societatis zoologicae bohemoslovacae
Acta. Tech.|acta technica
Acta. Trop.|acta tropica
Acta. Vet. Scand.|acta veterinaria scandinavica
Acta. Zool.|acta zoologica
Acta. Zool. Cracov.|acta zoologica cracoviensia
Acta. Zool. Fenn.|acta zoologica fennica
Acta. Zool. Hung.|acta zoologica hungarica
Acta. Zool. Lillo.|acta zoologica lilloana
Acta. Zool. Pathol. Antverpiensia.|acta zoologica et pathologica antverpiensia
Acta. Zool. Sin.|acta zoologica sinica
Actes. Dir. Rech. Sci. Tech. (Que. Prov).|actes direction de la recherche scientifique et technique (quebec prov)
Actes. Soc. Helv. Sci. Nat.|actes de la societe helvetique des sciences naturelles
Actual. Biol.|actualidades biologicas
Actual. Chim.|actualite chimique
Ad. Hoc. Networks.|ad hoc networks
Addict. Behav.|addictive behaviors
Addict. Behav. Rep.|addictive behaviors reports
Addict. Biol.|addiction biology
Addit. Manuf.|additive manufacturing
Addit. Polym.|additives for polymers
Adhes. Age.|adhesives age
Adm. Law. Rev.|administrative law reviews
Adm. Rep.|administrative report
Adour. Garonne.|adour garonne
Adsorpt. Sci. Technol.|adsorption science and technology
Adv. Acoust. Vibr.|advances in acoustics and vibrations
Adv. Aerodyn.|advances in aerodynamics
Adv. Agric.|advances in agriculture
Adv. Anim. Biosci.|advances in animal biosciences
Adv. Appl. Ceram.|advances in applied ceramics
Adv. Appl. Math.|advances in applied mathematics
Adv. Appl. Math. Mech.|advances in applied mathematics and mechanics
Adv. Appl. Microbiol.|advances in applied microbiology
Adv. Appl. Probab.|advances in applied probability
Adv. Archaeol. Pract.|advances in archaeological practice
Adv. Astron.|advances in astronomy
Adv. At. Mol. Opt. Phys.|advances in atomic molecular and optical physics
Adv. Atmos. Sci.|advances in atmospheric sciences
Adv. Bio. Regul.|advances in biological regulation
Adv. Biochem. Eng/Biotechnol.|advances in biochemical engineering / biotechnology
Adv. Bioinf.|advances in bioinformatics
Adv. Biomarker. Sci. Technol.|advances in biomarker sciences and technology
Adv. Bionics. Biokinet. Biocybern.|advanced bionics, biokinetics and biocybernetics
Adv. Biophys.|advances in biophysics
Adv. Biosyst.|advanced biosystems
Adv. Bot. Res.|advances in botanical research
Adv. Bridge. Eng.|advances in bridge engineering
Adv. Build. Energy. Res.|advances in building energy research
Adv. Carbohydr. Chem. Biochem.|advances in carbohydrate chemistry and biochemistry
Adv. Cem. Based. Mater.|advanced cement based materials
Adv. Cem. Res.|advances in cement research
Adv. Chem. Phys.|advances in chemical physics
Adv. Chem. Ser.|advances in chemistry series
Adv. Chromatogr.|advances in chromatography
Adv. Civ. Eng.|advances in civil engineering
Adv. Clim. Change. Res.|advances in climate change research
Adv. Colloid. Interface. Sci.|advances in colloid and interface science
Adv. Complex. Syst.|advances in complex systems
Adv. Compos. Hybrid. Mater.|advanced composites and hybrid materials
Adv. Compos. Mater.|advanced composite materials
Adv. Comput. Math.|advances in computational mathematics
Adv. Condens. Matter. Phys.|advances in condensed matter physics
Adv. Control. Appl.|advanced control for applications
Adv. Cryog. Eng.|advances in cryogenic engineering
Adv. Damage. Mech.|advances in damage mechanics
Adv. Dev. Biol.|advances in developmental biology
Adv. Device. Mater.|advanced device materials
Adv. Drug. Delivery. Rev.|advanced drug delivery reviews
Adv. Ecol. Res.|advances in ecological research
Adv. Electron. Mater.|advanced electronic materials
Adv. Energy. Mater.|advanced energy materials
Adv. Eng. Educ.|advances in engineering education
Adv. Eng. Inf.|advanced engineering informatics
Adv. Eng. Mater.|advanced engineering materials
Adv. Eng. Software.|advances in engineering software
Adv. Environ. Res.|advances in environmental research
Adv. Environ. Sci. Technol.|advances in environmental science and technology
Adv. Enzyme. Regul.|advances in enzyme regulation
Adv. Enzymol. Relat. Areas. Mol. Biol.|advances in enzymology and related areas of molecular biology
Adv. Enzymol. Relat. Subj.|advances in enzymology and related subjects
Adv. Enzymol. Relat. Subj. Biochem.|advances in ezymology and related subjects of biochemistry
Adv. Filtr. Sep. Technol.|advances in filtration and separation technology
Adv. Food. Nutr. Res.|advances in food and nutrition research
Adv. Forensic. Haemogenet.|advances in forensic haemogenetics
Adv. Free. Radical. Biol. Med.|advances in free radical biology and medicine
Adv. Funct. Mater.|advanced functional materials
Adv. Fuzzy. Syst.|advances in fuzzy systems
Adv. Genet.|advances in genetics
Adv. Geophys.|advances in geophysics
Adv. Geosci.|advances in geosciences
Adv. Healthcare. Mater.|advanced healthcare materials
Adv. Heterocycl. Chem.|advances in heterocyclic chemistry
Adv. High. Energy. Phys.|advances in high energy physics
Adv. Hum. Comput. Interact.|advances in human-computer interaction
Adv. Ind. Eng. Polym. Res.|advanced industrial and engineering polymer research
Adv. Inorg. Chem.|advances in inorganic chemistry
Adv. Limnol.|advances in limnology
Adv. Lipid. Res.|advances in lipid research
Adv. Magn. Opt. Reson.|advances in magnetic and optical resonance
Adv. Manuf. Polym. Compos. Sci.|advanced manufacturing: polymer &; composites science
Adv. Mar. Biol.|advances in marine biology
Adv. Mass. Spectrom.|advances in mass spectrometry
Adv. Mater.|advanced materials
Adv. Mater. Forum.|advanced materials forum
Adv. Mater. Interfaces.|advanced materials interfaces
Adv. Mater. Opt. Electron.|advanced materials for optics and electronics
Adv. Mater. Processes.|advanced materials and processes
Adv. Mater. Res.|advances in materials research
Adv. Mater. Sci. Eng.|advances in materials science and engineering
Adv. Math.|advances in mathematics
Adv. Math. Phys.|advances in mathematical physics
Adv. Mech.|advances in mechanics
Adv. Mech. Eng.|advances in mechanical engineering
Adv. Med. Dent. Sci.|advances in medical and dental sciences
Adv. Med. Sci.|advances in medical science
Adv. Meteorol.|advances in meteorology
Adv. Modell. Anal. A|advances in modelling and analysis a
Adv. Modell. Anal. B|advances in modelling and analysis b
Adv. Mol. Pathol.|advances in molecular pathology
Adv. Mol. Relax. Interact. Processes.|advances in molecular relaxation and interaction processes
Adv. Multimedia.|advances in multimedia
Adv. Nat. Appl. Sci.|advances in natural and applied science
Adv. Nat. Sci:. Nanosci. Nanotechnol.|advances in natural sciences: nanoscience and nanotechnology
Adv. Neuroimmune. Biol.|advances in neuroimmune biology
Adv. Nonlinear. Anal.|advances in nonlinear analysis
Adv. Nonlinear. Stud.|advanced nonlinear studies
Adv. Numer. Anal.|advances in numerical analysis
Adv. Nutr.|advances in nutrition
Adv. Oceanogr. Limnol.|advances in oceanography and limnology
Adv. Oper. Res.|advances in operations research
Adv. Opt. Mater.|advanced optical materials
Adv. Opt. Photonics|advances in optics and photonics
Adv. Opt. Technol.|advances in optical technologies
Adv. OptoElectron.|advances in optoelectronics
Adv. Org. Geochem.|advances in organic geochemistry
Adv. Org. Synth.|advances in organic synthesis
Adv. Organomet. Chem.|advances in organometallic chemistry
Adv. Photonics|advanced photonics
Adv. Phys.|advances in physics
Adv. Phys. Org. Chem.|advances in physical organic chemistry
Adv. Polym. Sci.|advances in polymer science
Adv. Polym. Tech.|advances in polymer technology
Adv. Powder. Metall. Part. Mater.|advances in powder metallurgy and particulate materials
Adv. Powder. Technol.|advanced powder technology
Adv. Power. Electron.|advances in power electronics
Adv. Prod. Eng. Manage.|advances in production engineering &; management
Adv. Protein. Chem.|advances in protein chemistry
Adv. Quantum. Chem.|advances in quantum chemistry
Adv. Quantum. Technol.|advanced quantum technologies
Adv. Radiat. Oncol.|advances in radiation oncology
Adv. Radio. Sci.|advances in radio science
Adv. Rob.|advanced robotics
Adv. Sci.|advanced science
Adv. Sci. Lett.|advanced science letters
Adv. Sci. Res.|advances in science and research
Adv. Second. Messenger. Phosphoprotein. Res.|advances in second messenger and phosphoprotein research
Adv. Space. Res.|advances in space research
Adv. Spectrosc.|advances in spectroscopy
Adv. Stat. Climatol. Meteorol. Oceanogr.|advances in statistical climatology, meteorology and oceanography
Adv. Struct. Eng.|advances in structural engineering
Adv. Stud. Theor. Phys.|advanced studies in theoretical physics
Adv. Synchrotron. Radiat.|advances in synchrotron radiation
Adv. Synth. Catal.|advanced synthesis and catalysis
Adv. Theor. Math. Phys.|advances in theoretical and mathematical physics
Adv. Theor. Simul.|advanced theory and simulations
Adv. Transp. Stud.|advances in transportation studies
Adv. Tribol.|advances in tribology
Adv. Virol.|advances in virology
Adv. Water. Res.|advances in water research
Adv. Water. Resour.|advances in water resources
Adv. X-Ray. Anal.|advances in x-ray analysis
Adverse. Drug. React. Toxicol. Rev.|adverse drug reactions and toxicological reviews
Advis. Serv. Sea. Grant. Program. South. Calif. Univ.|advisory services sea grant program southern california university
Aegir/Sea|aegir/sea
Aeolian. Res.|aeolian research
Aeronaut. J|aeronautical journal
Aerosol. Air. Qual. Res.|aerosol and air quality research
Aerosol. Sci. Eng.|aerosol science and engineering
Aerosol. Sci. Technol.|aerosol science and technology
Aerosp. Med. Hum. Perform.|aerospace medicine and human performance
Aerosp. Sci. Technol.|aerospace science and technology
Aerosp. Syst.|aerospace systems
AEU. Int. J Electron. Commun.|aeu international journal of electronics and communications
Afr. Entomol.|african entomology
Afr. J Aquat. Sci.|african journal of aquatic science
Afr. J Biochem. Res.|african journal of biochemistry research
Afr. J Ecol.|african journal of ecology
Afr. J Environ. Sci. Technol.|african journal of environmental science and technology
Afr. J Food. Agric. Nutr. Dev.|african journal of food, agriculture, nutrition and development
Afr. J Food. Sci.|african journal of food science
Afr. J Lab. Med.|african journal of laboratory medicine
Afr. J Mar. Sci.|african journal of marine science
Afr. J Plant. Sci.|african journal of plant science
Afr. J Range. Forage. Sci.|african journal of range and forage science
Agal. Res.|agal research
Agra. Univ. J Res:. Sci.|agra university journal of research: science
AGREP|permanent inventory of agricultural research projects in the commission of european communities
Agric. Agric. Sci. Procedia.|agriculture and agricultural science procedia
Agric. Ecosyst. Environ.|agriculture, ecosystems and environment
Agric. Environ.|agriculture and environment
Agric. Environ. Lett.|agricultural &; environmental letters
Agric. Food. Sci.|agricultural and food science
Agric. Food. Secur.|agriculture &; food security
Agric. For. Bull.|agriculture and forestry bulletin
Agric. For. Entomol.|agricultural and forest entomology
Agric. For. Meteorol.|agricultural and forest meteorology
Agric. Pesca. Aliment. Esp.|agricultura, la pesca y la alimentacion espanolas
Agric. Res.|agricultural research
Agric. Resour. Econ. Rev.|agricultural and resource economics review
Agric. Syst.|agricultural systems
Agric. Wastes.|agricultural wastes
Agric. Water. Manage.|agricultural water management
Agrofor. Syst.|agroforestry systems
Agron. J|agronomy journal
Agron. Lusit.|agronomia lusitana
Agron. Sustainable. Dev.|agronomy for sustainable development
AGSO. J Aust. Geol. Geophys.|agso journal of australian geology and geophysics
AGU. Adv.|agu advances
AI. Commun.|ai communications
AIAA. J Air. Transp.|aiaa journal of air transportation
Ain. Shams. Eng. J|ain shams engineering journal
AIP. Adv.|aip advances
Air. Qual. Atmos. Health.|air quality, atmosphere and health
Air. Soil. Water. Res.|air, soil and water research
Air. Water. Pollut.|air and water pollution
Aircr. Des.|aircraft design
Aircr. Eng.|aircraft engineering
AlChE. J|aiche journal
AlChE. Symp. Ser.|aiche symposium series
Alcohol. Alcohol.|alcohol and alcoholism
Alcohol. Drug. Addict.|alcoholism and drug addiction
Alcohol:. Clin. Exp. Res.|alcoholism: clinical and experimental research
ALCOM. News.|alcom news
ALCOM. Rep.|alcom report
Aldrichimica. Acta.|aldrichimica acta
Al'gologiya|al'gologiya
Algorithmic. Finance.|algorithmic finance
Algorithms. Mol. Biol.|algorithms for molecular biology
Aliment. Pharmacol. Ther.|alimentary pharmacology &; therapeutics
Allan. Hancock. Atl. Exped,. Rep.|allan hancock atlantic expedition report
Allan. Hancock. Found,. Tech. Rep.|allan hancock foundation technical report
Allan. Hancock. Monogr. Mar. Biol.|allan hancock monographs in marine biology
Allan. Hancock. Occas. Pap.|allan hancock occasional papers
Allan. Hancock. Occas. Pap,. New. Ser.|allan hancock occasional papers new series
Allan. Hancock. Pac. Exped.|allan hancock pacific expeditions
Allg. Fisch-Ztg.|allgemeine fischerei-zeitung
Alp. Bot.|alpine botany
Alp. Entomol.|alpine entomology
Alsk. Fish. Res. Bull.|alaska fishery research bulletin
Alsk. Sea. Grant. Rep. Alsk. Sea. Grant. Program,. Univ. Alsk.|alaska sea grant report alaska sea grant program, university of alaska
Am. Assoc. Pet. Geol. Bull.|american association of petroleum geologists bulletin
Am. Bee. J|american bee journal
Am. Biol. Teach.|american biology teacher
Am. Ceram. Soc. Bull.|american ceramic society bulletin
Am. Chem. J|american chemical journal
Am. Christmas. Tree. J|american christmas tree journal
Am. Econ. Rev.|american economic review
Am. Fish. Soc. Symp.|american fisheries society symposium
Am. Ind. Hyg. Assoc. J|american industrial hygiene association journal
Am. J Addict.|american journal on addictions
Am. J Agric. Econ.|american journal of agricultural economics
Am. J Altern. Agric.|american journal of alternative agriculture
Am. J Biochem. Biotechnol.|american journal of biochemistry and biotechnology
Am. J Bioethics.|american journal of bioethics
Am. J Bot.|american journal of botany
Am. J Clin. Nutr.|american journal of clinical nutrition
Am. J Clin. Pathol.|american journal of clinical pathology
Am. J Drug. Alcohol. Abuse.|american journal of drug and alcohol abuse
Am. J Econ. Sociol.|american journal of economics and sociology
Am. J Food. Technol.|american journal of food technology
Am. J Forensic. Med. Pathol.|american journal of forensic medicine and pathology
Am. J Health-Syst. Pharm.|american journal of health system pharmacy
Am. J Hematol.|american journal of hematology
Am. J Hum. Genet.|american journal of human genetics
Am. J Ind. Med.|american journal of industrial medicine
Am. J Int. Law.|american journal of international law
Am. J Med. Genet.|american journal of medical genetics
Am. J Neuroprot. Neuroregener.|american journal of neuroprotection and neuroregeneration
Am. J Nucl. Med. Mol. Imaging.|american journal of nuclear medicine and molecular imaging
Am. J Pathol.|american journal of pathology
Am. J Pharmacol. Toxicol.|american journal of pharmacology and toxicology
Am. J Philol.|american journal of philology
Am. J Phys.|american journal of physics
Am. J Phys. Anthropol.|american journal of physical anthropology
Am. J Physiol.|american journal of physiology
Am. J Plant. Sci.|american journal of plant science
Am. J Potato. Res.|american journal of potato research
Am. J Primatol.|american journal of primatology
Am. J Respir. Cell. Mol. Biol.|american journal of respiratory cell and molecular biology
Am. J Sci.|american journal of science
Am. J Sports. Med.|american journal of sports medicine
Am. J Surg. Pathol.|american journal of surgical pathology
Am. J Trop. Med. Hyg.|american journal of tropical medicine and hygiene
Am. J Vet. Res.|american journal of veterinary research
Am. Lab.|american laboratory
Am. Malacol. Bull.|american malacological bulletin
Am. Malacol. Bull,. Spec. Ed.|american malacological bulletin special edition
Am. Math. Mon.|american mathematical monthly
Am. Midl. Nat.|american midland naturalist
Am. Mineral.|american mineralogist
Am. Mus. Novit.|american museum novitates
Am. Nat.|american naturalist
Am. Sci.|american scientist
Am. Univ. Law. Rev.|american university law review
Am. Zool.|american zoologist
Amazoniana|amazoniana : limnologia et oecologia regionalis systemae fluminis amazonas
Ambiente|ambiente
Ambio|ambio
Ambio. Spec. Rep.|ambio special report
Ameghiniana|ameghiniana
Amino. Acids.|amino acids
